setup,gene,num_mutated,model,graph,gene_selection,cancer type,num_layer,channels,batch,lr,ratio,dropout,aggregation,criterion,max_features,n_estimator,val_auc,val_acc,val_prec,val_recall,test_auc,test_acc,test_prec,test_recall
rtk_ras_dominant,KRAS,72,ELR,NA,first_degree_neighbors,LIHC,NA,NA,NA,0.1,0.7,NA,NA,NA,NA,NA,0.65633423180593,0.7910447761194029,0.0,0.0,0.4148148148148148,0.782608695652174,0.0,0.0
rtk_ras_dominant,KRAS,,RF,NA,NA,LIHC,NA,NA,NA,NA,NA,False,NA,gini,0.4,2000,0.5357142857142857,0.8059701492537313,1.0,0.07142857142857142,0.4123456790123457,0.782608695652174,0.0,0.0
rtk_ras_dominant,MET,72,ELR,NA,first_degree_neighbors,LIHC,NA,NA,NA,0.001,0.3,NA,NA,NA,NA,NA,0.6981132075471699,0.7164179104477612,0.3333333333333333,0.35714285714285715,0.5913580246913581,0.6231884057971014,0.23809523809523808,0.3333333333333333
rtk_ras_dominant,MET,,RF,NA,NA,LIHC,NA,NA,NA,NA,NA,False,NA,gini,0.4,1000,0.5262803234501348,0.7910447761194029,0.5,0.07142857142857142,0.4407407407407407,0.7681159420289855,0.0,0.0
rtk_ras_dominant,NF1,72,ELR,NA,first_degree_neighbors,LIHC,NA,NA,NA,0.0001,0.5,NA,NA,NA,NA,NA,0.5013477088948787,0.6716417910447762,0.25,0.2857142857142857,0.6024691358024692,0.7536231884057971,0.4166666666666667,0.3333333333333333
rtk_ras_dominant,NF1,,RF,NA,NA,LIHC,NA,NA,NA,NA,NA,False,NA,gini,0.4,1000,0.5,0.7910447761194029,0.0,0.0,0.6222222222222222,0.782608695652174,0.0,0.0
rtk_ras_dominant,RASA1,72,ELR,NA,first_degree_neighbors,LIHC,NA,NA,NA,0.1,1,NA,NA,NA,NA,NA,0.6320754716981133,0.7910447761194029,0.0,0.0,0.5950617283950618,0.782608695652174,0.0,0.0
rtk_ras_dominant,RASA1,,RF,NA,NA,LIHC,NA,NA,NA,NA,NA,False,NA,gini,0.4,1000,0.5,0.7910447761194029,0.0,0.0,0.4925925925925926,0.782608695652174,0.0,0.0
rtk_ras_dominant,all_neighbors,72,ELR,NA,first_degree_neighbors,LIHC,NA,NA,NA,0.001,1,NA,NA,NA,NA,NA,0.5673854447439353,0.6716417910447762,0.16666666666666666,0.14285714285714285,0.6790123456790124,0.7391304347826086,0.4,0.4
rtk_ras_dominant,all_neighbors,,RF,NA,NA,LIHC,NA,NA,NA,NA,NA,False,NA,gini,0.4,1000,0.5,0.7910447761194029,0.0,0.0,0.6765432098765432,0.7681159420289855,0.0,0.0
rtk_ras_dominant,all_neighbors,4153,ELR,NA,first_degree_neighbors,pan_cancer,NA,NA,NA,0.01,0.3,NA,NA,NA,NA,NA,0.8353103183802958,0.7630787733012627,0.7708628005657708,0.7014157014157014,0.8316593620647674,0.7555555555555555,0.7635327635327636,0.6898326898326899
rtk_ras_dominant,all_neighbors,,RF,NA,NA,pan_cancer,NA,NA,NA,NA,NA,False,NA,gini,0.1,1500,0.7161791749827867,0.7185808779314492,0.7068273092369478,0.6795366795366795,0.7839577028766217,0.7069069069069069,0.6924101198402131,0.6692406692406693
